Jornada 26ª;;;;
domingo - 07/12/2025;;;;
1.;Villarreal - Getafe;1;;
2.;Alavés - Real Sociedad;1;;
3.;Betis - Barcelona;2;;
4.;Elche - Girona;1;;
5.;Valencia - Sevilla;X;;
6.;Espanyol - Rayo Vallecano;;07/12/2025;18:30
7.;Real Madrid - Celta;;07/12/2025;21:00
8.;Osasuna - Levante;;08/12/2025;21:00
9.;Andorra - Almería;2;;
10.;Huesca - Valladolid;2;;
11.;Cádiz - Racing Santander;2;;
12.;Leganés - Córdoba;X;;
13.;Deportivo - Castellón;;07/12/2025;18:30
14.;Granada - Ceuta;;07/12/2025;21:00
P-15;Athletic Club - At. Madrid;1-0;;
;;;;
Jornada 24ª;;;;
domingo - 30/11/2025;;;;
+ Info ;;;;
1.;Mallorca - Osasuna;X;;
2.;Barcelona - Alavés;1;;
3.;Levante - Athletic Club;2;;
4.;At. Madrid - R. Oviedo;1;;
5.;Real Sociedad - Villarreal;2;;
6.;Sevilla - Betis;2;;
7.;Celta - Espanyol;2;;
8.;Girona - Real Madrid;X;;
9.;Ceuta - Burgos;1;;
10.;Albacete - Deportivo;2;;
11.;Valladolid - Málaga;X;;
12.;R. Zaragoza - Leganés;1;;
13.;Córdoba - Cádiz;2;;
14.;Castellón - Las Palmas;1;;
P-15;Rayo Vallecano - Valencia;1-1;;
;;;;
Jornada 22ª;;;;
domingo - 23/11/2025;;;;
+ Info ;;;;
1.;Alavés - Celta;2;;
2.;Barcelona - Athletic Club;1;;
3.;Osasuna - Real Sociedad;2;;
4.;Villarreal - Mallorca;1;;
5.;R. Oviedo - Rayo Vallecano;X;;
6.;Betis - Girona;X;;
7.;Getafe - At. Madrid;2;;
8.;Elche - Real Madrid;X;;
9.;Leganés - Almería;2;;
10.;Granada - Córdoba;X;;
11.;Deportivo - Ceuta;1;;
12.;Huesca - Sporting;1;;
13.;Burgos - Racing Santander;2;;
14.;Málaga - Mirandés;1;;
P-15;Espanyol - Sevilla;2-1;;
;;;;
Jornada 19ª;;;;
domingo - 09/11/2025;;;;
+ Info ;;;;
1.;Girona - Alavés;1;;
2.;Sevilla - Osasuna;1;;
3.;At. Madrid - Levante;1;;
4.;Espanyol - Villarreal;2;;
5.;Athletic Club - R. Oviedo;1;;
6.;Valencia - Betis;X;;
7.;Mallorca - Getafe;1;;
8.;Celta - Barcelona;2;;
9.;Huesca - Andorra;X;;
10.;Málaga - Córdoba;X;;
11.;Las Palmas - Racing De Santander;1;;
12.;Ceuta - Almería;X;;
13.;Granada - R. Zaragoza;1;;
14.;Cádiz - Valladolid;X;;
P-15;Rayo Vallecano - Real Madrid;0-0;;
;;;;
Jornada 17ª;;;;
domingo - 02/11/2025;;;;
+ Info ;;;;
1.;Villarreal - Rayo Vallecano;1;;
2.;At. Madrid - Sevilla;1;;
3.;Real Madrid - Valencia;1;;
4.;Levante - Celta;2;;
5.;Alavés - Espanyol;1;;
6.;Barcelona - Elche;1;;
7.;Betis - Mallorca;1;;
8.;R. Oviedo - Osasuna;X;;
9.;Leganés - Burgos;2;;
10.;Almería - Eibar;1;;
11.;Andorra - Cádiz;X;;
12.;Sporting - Las Palmas;X;;
13.;Castellón - Málaga;1;;
14.;R. Zaragoza - Deportivo;2;;
P-15;Real Sociedad - Athletic Club;M-2;;
;;;;
Jornada 16ª;;;;
domingo - 26/10/2025;;;;
+ Info ;;;;
1.;Girona - R. Oviedo;X;;
2.;Espanyol - Elche;1;;
3.;Athletic Club - Getafe;2;;
4.;Valencia - Villarreal;2;;
5.;Mallorca - Levante;X;;
6.;Osasuna - Celta;2;;
7.;Rayo Vallecano - Alavés;1;;
8.;Betis - At. Madrid;2;;
9.;Granada - Cádiz;X;;
10.;Mirandés - Racing Santander;2;;
11.;Málaga - Andorra;1;;
12.;Sporting - R. Zaragoza;1;;
13.;Almería - Castellón;1;;
14.;Deportivo - Valladolid;X;;
P-15;Real Madrid - Barcelona;2-1;;
;;;;
Jornada 14ª;;;;
domingo - 19/10/2025;;;;
+ Info ;;;;
1.;Sevilla - Mallorca;2;;
2.;Barcelona - Girona;1;;
3.;Villarreal - Betis;X;;
4.;At. Madrid - Osasuna;1;;
5.;Elche - Athletic Club;X;;
6.;Celta - Real Sociedad;X;;
7.;Levante - Rayo Vallecano;2;;
8.;Getafe - Real Madrid;2;;
9.;R. Zaragoza - Cultural Leonesa;2;;
10.;Leganés - Málaga;1;;
11.;Castellón - Albacete;2;;
12.;Valladolid - Sporting;2;;
13.;Racing Santander - Deportivo;1;;
14.;Córdoba - Almería;X;;
P-15;Alavés - Valencia;0-0;;
;;;;
Jornada 11ª;;;;
domingo - 05/10/2025;;;;
+ Info ;;;;
1.;R. Oviedo - Levante;2;;
2.;Girona - Valencia;1;;
3.;Athletic Club - Mallorca;1;;
4.;Real Madrid - Villarreal;1;;
5.;Sevilla - Barcelona;1;;
6.;Alavés - Elche;1;;
7.;Espanyol - Betis;2;;
8.;Real Sociedad - Rayo Vallecano;2;;
9.;Deportivo - Almería;X;;
10.;Andorra - Leganés;2;;
11.;Huesca - Burgos;1;;
12.;R. Zaragoza - Córdoba;2;;
13.;Racing Santander - Málaga;1;;
14.;Las Palmas - Cádiz;1;;
P-15;Celta - At. Madrid;1-1;;
;;;;
Jornada 9ª;;;;
domingo - 28/09/2025;;;;
+ Info ;;;;
1.;Getafe - Levante;X;;
2.;Mallorca - Alavés;1;;
3.;Villarreal - Athletic Club;1;;
4.;Rayo Vallecano - Sevilla;2;;
5.;Elche - Celta;1;;
6.;Betis - Osasuna;1;;
7.;Barcelona - Real Sociedad;1;;
8.;Valencia - R. Oviedo;1;;
9.;Eibar - Deportivo;X;;
10.;Racing Santander - Andorra;2;;
11.;Las Palmas - Almería;2;;
12.;Burgos - Málaga;1;;
13.;Cádiz - Ceuta;X;;
14.;Sporting - Albacete;2;;
P-15;At. Madrid - Real Madrid;M-2;;
;;;;
Jornada 7ª;;;;
domingo - 21/09/2025;;;;
+ Info ;;;;
1.;Alavés - Sevilla;2;;
2.;Barcelona - Getafe;1;;
3.;Betis - Real Sociedad;1;;
4.;Elche - R. Oviedo;1;;
5.;Girona - Levante;2;;
6.;Mallorca - At. Madrid;X;;
7.;Rayo Vallecano - Celta;X;;
8.;Real Madrid - Espanyol;1;;
9.;Villarreal - Osasuna;1;;
10.;Albacete - Valladolid;1;;
11.;Córdoba - Racing De Santander;X;;
12.;Deportivo - Huesca;1;;
13.;Almería - Sporting;1;;
14.;Málaga - Cádiz;2;;
P-15;Valencia - Athletic Club;2-0;;
;;;;
Jornada 5ª;;;;
domingo - 14/09/2025;;;;
+ Info ;;;;
1.;Getafe - R. Oviedo;1;;
2.;Levante - Betis;X;;
3.;At. Madrid - Villarreal;1;;
4.;Barcelona - Valencia;1;;
5.;Athletic Club - Alavés;2;;
6.;Real Sociedad - Real Madrid;2;;
7.;Celta - Girona;X;;
8.;Osasuna - Rayo Vallecano;1;;
9.;Cádiz - Eibar;1;;
10.;Mirandés - Deportivo;2;;
11.;Huesca - Málaga;1;;
12.;Valladolid - Almería;1;;
13.;Sporting - Burgos;2;;
14.;Granada - Leganés;2;;
P-15;Espanyol - Mallorca;M-2;;
;;;;
Jornada 3ª;;;;
domingo - 31/08/2025;;;;
+ Info ;;;;
1.;Alavés - At. Madrid;X;;
2.;R. Oviedo - Real Sociedad;1;;
3.;Girona - Sevilla;2;;
4.;Real Madrid - Mallorca;1;;
5.;Celta - Villarreal;X;;
6.;Betis - Athletic Club;2;;
7.;Espanyol - Osasuna;1;;
8.;Racing Santander - Ceuta;1;;
9.;Valladolid - Córdoba;X;;
10.;Castellón - Zaragoza;X;;
11.;Andorra - Burgos;1;;
12.;Cádiz - Albacete;1;;
13.;Las Palmas - Málaga;2;;
14.;Granada - Mirandés;2;;
P-15;Rayo Vallecano - Barcelona;1-1;;
;;;;
Jornada 2ª;;;;
domingo - 24/08/2025;;;;
+ Info ;;;;
1.;Mallorca - Celta;X;;
2.;At. Madrid - Elche;X;;
3.;Levante - Barcelona;2;;
4.;Osasuna - Valencia;1;;
5.;Real Sociedad - Espanyol;X;;
6.;Villarreal - Girona;1;;
7.;R. Oviedo - Real Madrid;2;;
8.;Athletic Club - Rayo Vallecano;1;;
9.;Mirandés - Huesca;2;;
10.;Ceuta - Sporting;2;;
11.;R. Zaragoza - Andorra;2;;
12.;Deportivo - Burgos;X;;
13.;Cultural Leonesa - Almería;2;;
14.;Albacete - Racing Santander;2;;
P-15;Sevilla - Getafe;1-2;;
;;;;
Jornada 1ª;;;;
domingo - 17/08/2025;;;;
+ Info ;;;;
1.;Girona - Rayo Vallecano;2;;
2.;Villarreal - R. Oviedo;1;;
3.;Alavés - Levante;1;;
4.;Mallorca - Barcelona;2;;
5.;Valencia - Real Sociedad;X;;
6.;Celta - Getafe;2;;
7.;Athletic Club - Sevilla;1;;
8.;Espanyol - At. Madrid;1;;
9.;Racing Santander - Castellón;1;;
10.;Málaga - Eibar;X;;
11.;Granada - Deportivo;2;;
12.;Cádiz - Mirandés;1;;
13.;Huesca - Leganés;X;;
14.;Las Palmas - Andorra;X;;
P-15;Elche - Betis;1-1;;
